,Nickname,Review,Hashtag
1456,kgm868686, 2017.9.13.,"서면,1차,고요남,대형육회초밥,갈비찜,치즈볶음밥,사람많음,핫피플,먹방,먹스타그램,맥스,완전시원해,맛있당,내스탈,술스타그램"
1457,trebella_oly,  - . . . -  서울 송파구 백제고분로45길 5-18 1층 -,"코그노센티,커피,커피투어,커피그램,커피한잔,커피투어,커피타임,커피맛집,카페,카페투어,카페스타그램,카페탐방,카페그램,카페놀이,카페디저트,서울카페,seoulcafe,cafe,coffee,감성사진,감성카페,송파카페,송리단커피,송리단카페"
1458,cafxxe," 대치동, 토스트가 이쁜 집",
1459,kgm868686, 2017.3.30. 그나마 다들 괜찮다고 해줘서 다행이었다 내가 가본 한식뷔폐중에서 그나마 괜찮았어서 모임때 정해보았당 나도 올만에 갔는데도 나쁘지 않았다 야무지게 먹고왔당~^^,"비서모임,식당120,센텀,영화의전당,더블콘4층,한식뷔폐,먹스타그램,배터져"
1460,comoosoo, 샤로수길 킷사서울 단뽀뽀 오므라이스 계란이 부들부들 . . .,"샤로수길맛집,킷사서울,샤로수길,샤로수길맛집,서울대입구맛집,봉천동맛집,오므라이스,단뽀뽀오므라이스,맛집,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily,fff,followforfollowback,좋반,f4f,likeforfollow"
1461,kgm868686, 2018.11.27. @juyoinmul 공효진 완전 짱이다 그러다보니 몰입감 대박ㅋㅋ 전날 성난황소에서는 김성오 악역이더니 여기서는 형사ㅋ,"센텀cgv,도어락,인스타,호야님,이벤트,너무감사,무료관람,공효진,김예원,김성오,생활연기,영화스타그램,무비스타그램,영화매니아,저녁,전주비빔밥,콩나물국밥,냠냠"
1462,kgm868686, 2018.6.14.,"버닝,유아인,스티븐연,전종서,무비스타그램,내용은,흠,어렵다,현실비판"
1463,comoosoo, 마카오 여행때 들린 360카페 디저트 비주얼이 대박 . . .,"카페,마카오,마카오카페,마카오맛집,마카오여행,여행,여행스타그램,360카페,마카오디저트,디저트맛집,디저트카페,빵,케이크,빵스타그램,빵지순례,빵맛집,푸드스타그램,맛스타그램,먹스타그램,디저트,분위기좋은카페,선팔,맞팔,선팔맞팔,일상,데일리,food,daily,cafe,dessert"
1464,cafe_onni,,"단양카페,단양만랩커피,만랩커피단양점,단양맛집,에끌레어,에끌레어맛집,단양디저트,카페스타그램,카페투어,onni_단양"
1465,foodinary_shsh," 2019.09.20 회기 지인 추천해 준 맛집 뽀개기ing.. 백수씨네 심야식당 & 고기야 미안해  1. 고기야 미안해 외관도 너무 이뿌고 이름이 귀여워서 호감갔던 곳!! 생각보다 넓은 공간처럼 푸짐한 연어가 가성비 짱짱맨이다 연어 외에도광어/우럭 조합도 괜찮은 듯하고 기본 안주도 김치전 등 푸짐!  2. 백수씨 심야식당 앞으로 회기를 간다면 꼭 또 들리고 싶은 분위기 좋은 술집이자 맛집 원픽일 듯!! 회기 살았으면 맨날 왔다 히히 육전이랑 그냥 라면밖에 못 먹었는데 다음에는 홍게라면도 먹고 오징어 매운 떡볶이, 일명 오매떡도 먹을래...육전은 또 머글래... . . . 고기야 미안해; 서울 동대문구 경희대로4길 20  연어 단품(중) 35000원 백수씨 심야식당; 서울 동대문구 경희대로1길 8-15  한우육전 15000원  백수씨 얼큰라면 15000원 ","백수씨심야식당,고기야미안해,회기맛집,육전맛집,회기술집,회기연어,연어맛집,맛집스타그램,술스타그램,푸디너리회기,푸디너리서울"
